id	name	chi2	pval
48	7-syntactic_feature__subj_word__next_system_utterance__-LSB-	244.8315	0.0000
49	7-syntactic_feature__root_word__next_system_utterance__understand	237.3752	0.0000
50	7-syntactic_feature__root_word__next_system_utterance__learning	232.4609	0.0000
51	5-phrase_feature__noun_phrases__next_system_utterance__learning	232.4609	0.0000
52	6-entity_feature__entity__#overlop	231.8153	0.0000
53	7-syntactic_feature__subj_word__next_system_utterance__reminder	231.0623	0.0000
54	7-syntactic_feature__subj_word__next_system_utterance__nYou	226.6926	0.0000
55	7-syntactic_feature__root_word__next_system_utterance__What	225.5433	0.0000
56	5-phrase_feature__noun_phrases__next_system_utterance__n4	225.3156	0.0000
57	6-entity_feature__entity__next_system_utterance__\_NUMBER	224.6000	0.0000
58	7-syntactic_feature__root_word__next_system_utterance__Can	203.5088	0.0000
59	4.1-ngram.next_system_utterance__nyou discard	203.3550	0.0000
60	4.1-ngram.next_system_utterance__nyou discard request	203.3550	0.0000
61	5-phrase_feature__noun_phrases__next_system_utterance__n5	202.8591	0.0000
62	4.1-ngram.next_system_utterance__discard request	198.2175	0.0000
63	6-entity_feature__entity__next_system_utterance__3.30_NUMBER	196.0242	0.0000
64	4.1-ngram.next_system_utterance__request	194.0559	0.0000
65	5-phrase_feature__noun_phrases__next_system_utterance__ok	193.6281	0.0000
66	6-entity_feature__entity__next_system_utterance__friday_DATE	192.8034	0.0000
67	5-phrase_feature__noun_phrases__next_system_utterance__items	191.4949	0.0000
68	5-phrase_feature__noun_phrases__next_system_utterance__friday	188.4538	0.0000
69	5-phrase_feature__noun_phrases__have_overlop	187.5155	0.0000
70	4.1-ngram.next_system_utterance__discard	185.9521	0.0000
71	7-syntactic_feature__root_word__next_system_utterance__'s	182.6429	0.0000
72	5-phrase_feature__noun_phrases__jaccard_similarity	181.7404	0.0000
73	5-phrase_feature__noun_phrases__next_system_utterance__time	177.3108	0.0000
74	4.1-ngram.next_system_utterance__nyou	175.5454	0.0000
75	7-syntactic_feature__root_word__next_system_utterance__set	169.9142	0.0000
76	5-phrase_feature__noun_phrases__next_system_utterance__n6	168.6344	0.0000
77	5-phrase_feature__noun_phrases__next_system_utterance__list	168.3188	0.0000
78	6-entity_feature__entity__next_system_utterance__7_NUMBER	167.9410	0.0000
79	7-syntactic_feature__root_word__next_system_utterance__Alright	165.2803	0.0000
80	5-phrase_feature__noun_phrases__next_system_utterance__alright	163.9961	0.0000
81	7-syntactic_feature__root_word__next_system_utterance__\	158.5718	0.0000
82	6-entity_feature__entity__have_overlop	154.9983	0.0000
83	7-syntactic_feature__root_word__next_system_utterance__get	152.5429	0.0000
84	4.1-ngram.next_system_utterance__nfor	147.8702	0.0000
85	4.1-ngram.next_system_utterance__nfor example	147.8702	0.0000
86	7-syntactic_feature__subj_word__next_system_utterance__you	147.6251	0.0000
87	7-syntactic_feature__root_word__next_system_utterance__removed	145.5587	0.0000
88	5-phrase_feature__noun_phrases__next_system_utterance__n7	139.0826	0.0000
89	5-phrase_feature__noun_phrases__current_user_utterance__reminder	138.8225	0.0000
90	6-entity_feature__entity__jaccard_similarity	137.9378	0.0000
91	8.1-lda_feature.next_system_utterance__topic_39	136.7253	0.0000
92	4.1-ngram.next_user_utterance__discard	135.5368	0.0000
93	7-syntactic_feature__obj_word__next_system_utterance__task	135.0232	0.0000
94	7-syntactic_feature__root_word__current_user_utterance__Remind	133.9669	0.0000
95	7-syntactic_feature__root_word__next_system_utterance__clarify	130.0082	0.0000
96	4.1-ngram.next_system_utterance__reminder nfor	128.7207	0.0000
97	4.1-ngram.next_system_utterance__reminder nfor example	128.7207	0.0000
98	5-phrase_feature__noun_phrases__next_system_utterance__n8	128.6692	0.0000
99	5-phrase_feature__noun_phrases__next_system_utterance__10pm	126.0043	0.0000
100	5-phrase_feature__noun_phrases__next_system_utterance__n'show_list	124.5136	0.0000
101	5-phrase_feature__noun_phrases__next_system_utterance__item_<name>	124.5136	0.0000
102	5-phrase_feature__noun_phrases__next_system_utterance__n'add_item	124.5136	0.0000
103	5-phrase_feature__noun_phrases__next_system_utterance__n'add_item_<name>	124.5136	0.0000
104	5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item	124.5136	0.0000
105	5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item_<name>	124.5136	0.0000
106	5-phrase_feature__noun_phrases__next_system_utterance__n'remove_item_<number>	124.5136	0.0000
107	5-phrase_feature__noun_phrases__next_system_utterance__item_<number>	124.5136	0.0000
108	5-phrase_feature__noun_phrases__next_system_utterance__\_n'add_item	124.5136	0.0000
109	7-syntactic_feature__root_word__current_user_utterance__Clear	124.2787	0.0000
110	7-syntactic_feature__root_word__next_user_utterance__Discard	123.9512	0.0000
111	7-syntactic_feature__root_word__next_system_utterance__rephrase	122.8981	0.0000
112	5-phrase_feature__noun_phrases__current_user_utterance__clear_list	120.2070	0.0000
113	4.1-ngram.next_system_utterance__example	119.5750	0.0000
114	7-syntactic_feature__obj_word__current_user_utterance__all	118.5212	0.0000
115	3-time_feature__start_of_session	118.2904	0.0000
116	7-syntactic_feature__root_word__next_system_utterance__send	113.8403	0.0000
117	2.1-user_action_words.current_user_utterance__item	113.0136	0.0000
118	7-syntactic_feature__root_word__current_user_utterance__Add	112.7116	0.0000
119	7-syntactic_feature__root_word__next_system_utterance__n	111.2521	0.0000
120	4.1-ngram.next_system_utterance__yes	108.9885	0.0000
121	8.1-lda_feature.next_user_utterance__topic_35	108.4871	0.0000
122	5-phrase_feature__noun_phrases__next_system_utterance__n9	106.8850	0.0000
123	1-utterance_length.current_user_utterance__utterance_length	106.8411	0.0000
124	4.1-ngram.next_system_utterance__example title	105.3821	0.0000
125	4.1-ngram.next_system_utterance__nfor example title	105.3821	0.0000
126	7-syntactic_feature__root_words_overlap	105.1191	0.0000
127	5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching_reminders	102.3510	0.0000
128	5-phrase_feature__noun_phrases__next_system_utterance__\_nor	102.3510	0.0000
129	7-syntactic_feature__obj_word__next_system_utterance__anything	102.3510	0.0000
130	5-phrase_feature__noun_phrases__next_system_utterance__searching	102.3510	0.0000
131	5-phrase_feature__noun_phrases__next_system_utterance__nor_type	102.3510	0.0000
132	5-phrase_feature__noun_phrases__next_system_utterance__searching_reminders	102.3510	0.0000
133	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nor	102.3510	0.0000
134	5-phrase_feature__noun_phrases__next_system_utterance__n_\_ntry	102.3510	0.0000
135	5-phrase_feature__noun_phrases__next_system_utterance__nor	102.3510	0.0000
136	5-phrase_feature__noun_phrases__next_system_utterance__\_nor_type	102.3510	0.0000
137	5-phrase_feature__noun_phrases__next_system_utterance__ntry_searching	102.3510	0.0000
138	5-phrase_feature__noun_phrases__next_system_utterance__\_ntry_searching	102.3510	0.0000
139	4.1-ngram.next_system_utterance__really	101.3743	0.0000
140	5-phrase_feature__noun_phrases__next_system_utterance__shopping	100.6923	0.0000
141	5-phrase_feature__noun_phrases__next_system_utterance__shopping_list	99.3319	0.0000
142	4.1-ngram.next_system_utterance__mean	98.6929	0.0000
143	4.1-ngram.next_system_utterance__did	97.3614	0.0000
144	4.1-ngram.next_system_utterance__mean clear list	96.4607	0.0000
145	4.1-ngram.next_system_utterance__really mean	96.4607	0.0000
146	4.1-ngram.next_system_utterance__did really mean	96.4607	0.0000
147	4.1-ngram.next_system_utterance__really mean clear	96.4607	0.0000
148	4.1-ngram.next_system_utterance__mean clear	96.4607	0.0000
149	4.1-ngram.next_system_utterance__did really	96.4607	0.0000
150	4.1-ngram.next_system_utterance__list yes	96.4607	0.0000
151	4.1-ngram.next_system_utterance__clear list yes	96.4607	0.0000
152	7-syntactic_feature__root_word__next_system_utterance__Please	96.0104	0.0000
153	5-phrase_feature__noun_phrases__next_system_utterance__tomorrow	94.5988	0.0000
154	5-phrase_feature__noun_phrases__next_system_utterance__anything	94.1148	0.0000
155	7-syntactic_feature__root_word__next_user_utterance__Today	93.8469	0.0000
156	5-phrase_feature__noun_phrases__next_system_utterance__<name>	92.8626	0.0000
157	4.1-ngram.next_system_utterance__clear list	92.7263	0.0000
158	4.1-ngram.current_user_utterance__clear	91.3056	0.0000
159	4.1-ngram.next_system_utterance__clear	90.7214	0.0000
160	7-syntactic_feature__obj_word__next_system_utterance__n2	90.1196	0.0000
161	5-phrase_feature__noun_phrases__next_system_utterance__n10	88.6097	0.0000
162	5-phrase_feature__noun_phrases__next_system_utterance__group_members	88.4693	0.0000
163	4.3-jaccard_similarity__jaccard_similarity	88.1637	0.0000
164	5-phrase_feature__noun_phrases__next_user_utterance__title	87.8062	0.0000
165	7-syntactic_feature__root_word__next_system_utterance__create	87.3131	0.0000
166	7-syntactic_feature__root_word__next_system_utterance__see	86.5990	0.0000
167	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nfor	86.2923	0.0000
168	7-syntactic_feature__obj_word__next_system_utterance__you	85.9657	0.0000
169	7-syntactic_feature__subj_word__next_user_utterance__Title	82.1890	0.0000
170	6-entity_feature__entity__next_system_utterance__Laura_PERSON	82.1102	0.0000
171	6-entity_feature__entity__next_system_utterance__tomorrow_DATE	81.7704	0.0000
172	4.1-ngram.next_system_utterance__sorry	81.5756	0.0000
173	5-phrase_feature__noun_phrases__next_system_utterance__laura	81.3089	0.0000
174	5-phrase_feature__noun_phrases__next_system_utterance__n_\_ntype	81.0823	0.0000
175	4.1-ngram.current_user_utterance__clear list	81.0608	0.0000
176	4.1-ngram.next_system_utterance__didn	80.8437	0.0000
177	7-syntactic_feature__root_word__next_system_utterance__think	79.9843	0.0000
178	5-phrase_feature__noun_phrases__next_system_utterance__n'show	79.8679	0.0000
179	5-phrase_feature__noun_phrases__next_system_utterance__\_n'remove	79.8679	0.0000
180	5-phrase_feature__noun_phrases__next_system_utterance__n'remove	79.8679	0.0000
181	5-phrase_feature__noun_phrases__current_user_utterance__item	79.5578	0.0000
182	4.1-ngram.next_system_utterance__handle	78.8451	0.0000
183	7-syntactic_feature__root_word__next_system_utterance__handle	78.5476	0.0000
184	7-syntactic_feature__root_word__next_system_utterance__able	78.3235	0.0000
185	7-syntactic_feature__root_word__current_user_utterance__Discard	78.2303	0.0000
186	6-entity_feature__entity__next_system_utterance__at_6_pm_TIME	77.7081	0.0000
187	8.1-lda_feature.next_system_utterance__topic_1	77.3820	0.0000
188	5-phrase_feature__noun_phrases__next_system_utterance__reminder	77.1671	0.0000
189	5-phrase_feature__noun_phrases__next_system_utterance__n11	75.8254	0.0000
190	4.1-ngram.next_system_utterance__add	75.8021	0.0000
191	4.1-ngram.next_system_utterance__learning	75.7581	0.0000
192	4.1-ngram.next_system_utterance__clarify	75.7581	0.0000
193	4.1-ngram.next_system_utterance__learning clarify	75.7581	0.0000
194	5-phrase_feature__noun_phrases__next_system_utterance__task	74.5021	0.0000
195	4.1-ngram.next_system_utterance__leslie	72.5603	0.0000
196	4.1-ngram.next_system_utterance__title lunch leslie	72.5603	0.0000
197	4.1-ngram.next_system_utterance__lunch leslie	72.5603	0.0000
198	4.1-ngram.next_system_utterance__leslie nyou discard	72.5603	0.0000
199	4.1-ngram.next_system_utterance__lunch leslie nyou	72.5603	0.0000
200	4.1-ngram.next_system_utterance__leslie nyou	72.5603	0.0000
201	5-phrase_feature__noun_phrases__next_system_utterance__members	72.5391	0.0000
202	6-entity_feature__entity__next_system_utterance__\_nTry_,_`_MISC	72.4706	0.0000
203	5-phrase_feature__noun_phrases__next_user_utterance__y	72.4706	0.0000
204	7-syntactic_feature__root_word__next_user_utterance__Y	72.4706	0.0000
205	5-phrase_feature__noun_phrases__next_system_utterance__2pm	72.1166	0.0000
206	6-entity_feature__entity__next_system_utterance__2_pm_TIME	72.1166	0.0000
207	7-syntactic_feature__subj_word__next_system_utterance__Removing	72.1166	0.0000
208	5-phrase_feature__noun_phrases__next_system_utterance__removing	72.1166	0.0000
209	6-entity_feature__entity__next_system_utterance__at_2PM_TIME	72.1166	0.0000
210	8.1-lda_feature.next_system_utterance__topic_18	71.7013	0.0000
211	6-entity_feature__entity__next_system_utterance__10PM_TIME	71.5672	0.0000
212	4.1-ngram.next_system_utterance__halloween party	70.9824	0.0000
213	4.1-ngram.next_system_utterance__halloween	70.9824	0.0000
214	4.1-ngram.current_user_utterance__discard	70.6268	0.0000
215	7-syntactic_feature__obj_word__next_system_utterance__n3	70.5480	0.0000
216	5-phrase_feature__noun_phrases__next_system_utterance__n12	70.1953	0.0000
217	2.1-user_action_words.current_user_utterance__remind	70.0871	0.0000
218	7-syntactic_feature__obj_word__current_user_utterance__reminder	69.7080	0.0000
219	7-syntactic_feature__obj_word__next_system_utterance__n5	69.4420	0.0000
220	5-phrase_feature__noun_phrases__next_system_utterance__jorge	68.3444	0.0000
221	6-entity_feature__entity__next_system_utterance__Jorge_PERSON	68.3444	0.0000
222	5-phrase_feature__noun_phrases__next_system_utterance__sorry_jorge	68.3444	0.0000
223	4.1-ngram.next_system_utterance__example title lunch	67.5950	0.0000
224	5-phrase_feature__noun_phrases__next_user_utterance__today	65.5150	0.0000
225	7-syntactic_feature__obj_word__next_system_utterance__n	65.3380	0.0000
226	8.3-w2v_feature.current_user_utterance__w2v_dim=0	65.1387	0.0000
227	5-phrase_feature__noun_phrases__next_system_utterance__bread	64.4524	0.0000
228	5-phrase_feature__noun_phrases__next_system_utterance__ndo	63.7809	0.0000
229	5-phrase_feature__noun_phrases__next_system_utterance__n_\_ndo	63.7809	0.0000
230	5-phrase_feature__noun_phrases__next_system_utterance__\_ndo	63.7809	0.0000
231	5-phrase_feature__noun_phrases__next_system_utterance__series	63.7809	0.0000
232	6-entity_feature__entity__next_system_utterance__10_pm_TIME	63.7410	0.0000
233	4.1-ngram.next_system_utterance__task discard	63.6325	0.0000
234	4.1-ngram.next_system_utterance__don task discard	63.6325	0.0000
235	4.1-ngram.next_system_utterance__don task	63.6325	0.0000
236	4.1-ngram.next_system_utterance__party nyou	62.6882	0.0000
237	4.1-ngram.next_system_utterance__title halloween party	62.6882	0.0000
238	4.1-ngram.next_system_utterance__title halloween	62.6882	0.0000
239	4.1-ngram.next_system_utterance__party nyou discard	62.6882	0.0000
240	4.1-ngram.next_system_utterance__halloween party nyou	62.6882	0.0000
241	6-entity_feature__entity__next_system_utterance__at_10PM_SET	62.3901	0.0000
242	7-syntactic_feature__obj_words_overlap	62.2045	0.0000
243	7-syntactic_feature__obj_word__current_user_utterance__me	62.1912	0.0000
244	5-phrase_feature__noun_phrases__next_system_utterance__items_milk	61.8912	0.0000
245	2.2-#user_action_words.next_user_utterance__utterance_length	61.3098	0.0000
246	4.1-ngram.next_user_utterance__title	61.0364	0.0000
247	7-syntactic_feature__root_word__next_system_utterance__Ok	60.7745	0.0000
248	6-entity_feature__entity__next_system_utterance__7pm_TIME	60.7389	0.0000
249	4.1-ngram.next_system_utterance__understand	60.5873	0.0000
250	7-syntactic_feature__root_word__next_system_utterance__remind	60.3365	0.0000
251	6-entity_feature__entity__current_user_utterance__three_NUMBER	60.1605	0.0000
252	5-phrase_feature__noun_phrases__next_system_utterance__\_n'title	60.0125	0.0000
253	7-syntactic_feature__subj_word__next_system_utterance__n'title	60.0125	0.0000
254	5-phrase_feature__noun_phrases__next_system_utterance__n'title	60.0125	0.0000
255	4.1-ngram.next_system_utterance__friday	59.9989	0.0000
256	5-phrase_feature__noun_phrases__next_system_utterance__n13	59.4258	0.0000
257	7-syntactic_feature__obj_word__next_system_utterance__n6	58.6242	0.0000
258	4.1-ngram.next_system_utterance__rephrase	58.0093	0.0000
259	7-syntactic_feature__obj_word__next_system_utterance__n9	57.7657	0.0000
260	5-phrase_feature__noun_phrases__next_system_utterance__\_n2	57.6704	0.0000
261	4.1-ngram.next_system_utterance__party	57.6601	0.0000
262	8.1-lda_feature.next_system_utterance__topic_32	57.1918	0.0000
263	6-entity_feature__entity__next_system_utterance__4pm_on_TIME	57.1252	0.0000
264	6-entity_feature__entity__next_system_utterance__saturday_DATE	57.1252	0.0000
265	7-syntactic_feature__obj_word__next_system_utterance__n'Oct	56.5830	0.0000
266	5-phrase_feature__noun_phrases__next_system_utterance__nif	56.5151	0.0000
267	3-time_feature__time_ratio	56.5025	0.0000
268	4.1-ngram.current_user_utterance__reminder	56.2938	0.0000
269	5-phrase_feature__noun_phrases__next_system_utterance__\_ntype	56.1571	0.0000
270	7-syntactic_feature__root_word__next_system_utterance__need	54.7882	0.0000
271	7-syntactic_feature__subj_word__next_system_utterance__You	54.7673	0.0000
272	4.1-ngram.current_user_utterance__remind	54.7453	0.0000
273	4.1-ngram.next_system_utterance__example title halloween	54.4341	0.0000
274	7-syntactic_feature__root_word__next_user_utterance__Tomorrow	54.4104	0.0000
275	5-phrase_feature__noun_phrases__next_system_utterance__halloween	54.4104	0.0000
276	5-phrase_feature__noun_phrases__next_system_utterance__\_n'friday	54.3529	0.0000
277	7-syntactic_feature__root_word__next_system_utterance__n'friday	54.3529	0.0000
278	5-phrase_feature__noun_phrases__next_system_utterance__n'friday	54.3529	0.0000
279	8.2-lda_similarity__cosine	54.2535	0.0000
280	5-phrase_feature__noun_phrases__next_system_utterance__n_\_nif	54.1799	0.0000
281	5-phrase_feature__noun_phrases__next_system_utterance__\_nif	54.1799	0.0000
282	4.1-ngram.next_system_utterance__couldn	54.1174	0.0000
283	6-entity_feature__entity__next_system_utterance__Mar_19_DATE	53.7297	0.0000
284	7-syntactic_feature__root_word__next_user_utterance__Add	53.5216	0.0000
285	5-phrase_feature__noun_phrases__next_system_utterance__cheese	52.8742	0.0000
286	5-phrase_feature__noun_phrases__next_system_utterance__item	52.8252	0.0000
287	4.1-ngram.next_system_utterance__friday nyou	52.7458	0.0000
288	4.1-ngram.next_system_utterance__friday nyou discard	52.7458	0.0000
289	4.1-ngram.next_user_utterance__today	52.6352	0.0000
290	7-syntactic_feature__obj_word__current_user_utterance__list	51.8822	0.0000
291	5-phrase_feature__noun_phrases__next_system_utterance__birthday_party	51.7063	0.0000
292	7-syntactic_feature__obj_word__current_user_utterance__request	51.2188	0.0000
293	2.1-user_action_words.current_user_utterance__discard	51.1085	0.0000
294	6-entity_feature__entity__next_system_utterance__Friday_DATE	51.0729	0.0000
295	5-phrase_feature__noun_phrases__next_system_utterance__\_n_\	51.0618	0.0000
296	4.1-ngram.next_system_utterance__add items	50.9826	0.0000
297	6-entity_feature__entity__next_system_utterance__1st_ORDINAL	50.8698	0.0000
298	5-phrase_feature__noun_phrases__next_system_utterance__n_\	50.8658	0.0000
299	4.1-ngram.next_system_utterance__don	50.2477	0.0000
300	5-phrase_feature__noun_phrases__next_system_utterance__\_n'oct	49.1183	0.0000
301	5-phrase_feature__noun_phrases__next_system_utterance__n'oct	49.1183	0.0000
302	6-entity_feature__entity__next_system_utterance__25_NUMBER	49.1183	0.0000
303	5-phrase_feature__noun_phrases__next_system_utterance__ntype	48.8126	0.0000
304	6-entity_feature__entity__next_system_utterance__every_6_hours_SET	48.6096	0.0000
305	7-syntactic_feature__obj_word__next_system_utterance__n4	48.4913	0.0000
306	5-phrase_feature__noun_phrases__next_system_utterance__mar	47.8773	0.0000
307	5-phrase_feature__noun_phrases__next_system_utterance__feedback	47.6139	0.0000
308	5-phrase_feature__noun_phrases__next_system_utterance__<number>	47.5143	0.0000
309	8.1-lda_feature.next_system_utterance__topic_43	47.3188	0.0000
310	2.1-user_action_words.next_user_utterance__item	47.2856	0.0000
311	5-phrase_feature__noun_phrases__next_system_utterance__nto	47.1651	0.0000
312	5-phrase_feature__noun_phrases__next_system_utterance__n14	46.6549	0.0000
313	4.1-ngram.next_system_utterance__tomorrow 30	46.3336	0.0000
314	7-syntactic_feature__obj_word__next_system_utterance__n7	45.8290	0.0000
315	5-phrase_feature__noun_phrases__next_system_utterance__milk	45.8088	0.0000
316	7-syntactic_feature__root_word__current_user_utterance__10am	45.5629	0.0000
317	5-phrase_feature__noun_phrases__next_system_utterance__reservation	45.5629	0.0000
318	5-phrase_feature__noun_phrases__current_user_utterance__item_fit	45.5629	0.0000
319	6-entity_feature__entity__current_user_utterance__4:30_NUMBER	45.5629	0.0000
320	7-syntactic_feature__root_word__next_system_utterance__Comcast	45.5629	0.0000
321	7-syntactic_feature__obj_word__current_user_utterance__fit	45.5629	0.0000
322	5-phrase_feature__noun_phrases__next_system_utterance__dan	45.5629	0.0000
323	5-phrase_feature__noun_phrases__next_system_utterance__sorry_ashlee	45.5629	0.0000
324	5-phrase_feature__noun_phrases__current_user_utterance__tornado_siren	45.5629	0.0000
325	6-entity_feature__entity__next_system_utterance__Dan_PERSON	45.5629	0.0000
326	5-phrase_feature__noun_phrases__current_user_utterance__tornado	45.5629	0.0000
327	5-phrase_feature__noun_phrases__current_user_utterance__bib	45.5629	0.0000
328	5-phrase_feature__noun_phrases__next_system_utterance__matching_reminder	45.3148	0.0000
329	5-phrase_feature__noun_phrases__next_system_utterance__typing	44.7550	0.0000
330	5-phrase_feature__noun_phrases__next_system_utterance__member	44.4269	0.0000
331	4.1-ngram.next_system_utterance__sorry couldn	44.3492	0.0000
332	4.1-ngram.next_system_utterance__couldn understand rephrase	44.3492	0.0000
333	4.1-ngram.next_system_utterance__couldn understand	44.3492	0.0000
334	4.1-ngram.next_system_utterance__understand rephrase	44.3492	0.0000
335	4.1-ngram.next_system_utterance__sorry couldn understand	44.3492	0.0000
336	4.1-ngram.next_system_utterance__reminder ntry	44.1499	0.0000
337	8.1-lda_feature.next_system_utterance__topic_40	44.0277	0.0000
338	5-phrase_feature__noun_phrases__next_system_utterance__<your comments>	43.9354	0.0000
339	5-phrase_feature__noun_phrases__next_system_utterance__month	43.8695	0.0000
340	6-entity_feature__entity__next_system_utterance__every_month_SET	43.8695	0.0000
341	7-syntactic_feature__root_word__next_user_utterance__Remove	43.4103	0.0000
342	5-phrase_feature__noun_phrases__next_system_utterance__am	43.2874	0.0000
343	7-syntactic_feature__obj_word__next_system_utterance__members	43.2086	0.0000
344	7-syntactic_feature__root_word__next_system_utterance__notify	43.2086	0.0000
345	8.1-lda_feature.next_system_utterance__topic_19	42.7917	0.0000
346	7-syntactic_feature__root_word__next_system_utterance__milk	42.4403	0.0000
347	7-syntactic_feature__root_word__next_system_utterance__supply	42.3497	0.0000
348	4.1-ngram.next_system_utterance__time set	42.0501	0.0000
349	5-phrase_feature__noun_phrases__next_system_utterance__hours	41.9911	0.0000
350	7-syntactic_feature__obj_word__next_system_utterance__n8	41.6438	0.0000
351	4.1-ngram.next_system_utterance__remind nfor example	41.5543	0.0000
352	4.1-ngram.next_system_utterance__remind nfor	41.5543	0.0000
353	4.1-ngram.next_system_utterance__ntry	41.1927	0.0000
354	5-phrase_feature__noun_phrases__next_system_utterance__n15	41.0745	0.0000
355	2.3-action_jaccard_similarity__jaccard_similarity	40.6620	0.0000
356	5-phrase_feature__noun_phrases__next_system_utterance__examples	40.4835	0.0000
357	7-syntactic_feature__root_word__current_user_utterance__Show	40.3792	0.0000
358	5-phrase_feature__noun_phrases__next_system_utterance__sam	40.3628	0.0000
359	6-entity_feature__entity__next_system_utterance__Sam_PERSON	40.3628	0.0000
360	6-entity_feature__entity__next_system_utterance__past_DATE	39.9726	0.0000
361	5-phrase_feature__noun_phrases__next_user_utterance__item	39.9615	0.0000
362	7-syntactic_feature__root_word__next_system_utterance__try	39.8495	0.0000
363	4.1-ngram.next_system_utterance__nto add	39.7983	0.0000
364	5-phrase_feature__noun_phrases__current_user_utterance__show_list	39.5590	0.0000
365	5-phrase_feature__noun_phrases__next_system_utterance__reminders	39.4582	0.0000
366	5-phrase_feature__noun_phrases__next_system_utterance__sorry_john	39.1611	0.0000
367	5-phrase_feature__noun_phrases__current_user_utterance__show	39.0719	0.0000
368	4.1-ngram.current_user_utterance__remove remove	38.9181	0.0000
369	7-syntactic_feature__root_word__current_user_utterance__Edit	38.7284	0.0000
370	5-phrase_feature__noun_phrases__next_system_utterance__butter	38.6628	0.0000
371	2.1-user_action_words.next_user_utterance__remind	38.6175	0.0000
372	5-phrase_feature__noun_phrases__next_system_utterance__may	38.3316	0.0000
373	5-phrase_feature__noun_phrases__next_system_utterance__\_n6	37.8825	0.0000
